Date, Average Price
6-Jan-11, 155.00 
13-Jan-11, 155.00 
20-Jan-11, 155.00 
27-Jan-11, 155.00 
3-Feb-11, 155.00 
10-Feb-11, 155.00 
17-Feb-11, 155.00 
24-Feb-11, 155.00 
3-Mar-11, 155.00 
10-Mar-11, 155.00 
17-Mar-11, 155.00 
24-Mar-11, 155.00 
31-Mar-11, 155.00 
7-Apr-11, 175.00 
14-Apr-11, 175.00 
21-Apr-11, 175.00 
28-Apr-11, 175.00 
5-May-11, 175.00 
12-May-11, 175.00 
19-May-11, 175.00 
26-May-11, 175.00 
2-Jun-11, 175.00 
9-Jun-11, 175.00 
16-Jun-11, 175.00 
23-Jun-11, 175.00 
30-Jun-11, 185.00 
7-Jul-11, 185.00 
14-Jul-11, 185.00 
21-Jul-11, 185.00 
28-Jul-11, 185.00 
4-Aug-11, 185.00 
11-Aug-11, 185.00 
18-Aug-11, 185.00 
25-Aug-11, 185.00 
1-Sep-11, 185.00 
8-Sep-11, 185.00 
15-Sep-11, 185.00 
22-Sep-11, 185.00 
29-Sep-11, 185.00 
6-Oct-11, 185.00 
13-Oct-11, 185.00 
20-Oct-11, 185.00 
27-Oct-11, 205.00 
3-Nov-11, 205.00 
10-Nov-11, 193.50 
17-Nov-11, 193.50 
24-Nov-11, 193.50 
1-Dec-11, 193.50 
8-Dec-11, 193.50 
15-Dec-11, 193.50 
22-Dec-11, 193.50 
5-Jan-12, 193.50 
12-Jan-12, 193.50 
19-Jan-12, 193.50 
26-Jan-12, 183.50 
2-Feb-12, 183.50 
9-Feb-12, 183.50 
16-Feb-12, 183.50 
23-Feb-12, 183.50 
1-Mar-12, 183.50 
8-Mar-12, 183.50 
15-Mar-12, 183.50 
22-Mar-12, 183.50 
29-Mar-12, 183.50 
5-Apr-12, 173.50 
12-Apr-12, 173.50 
19-Apr-12, 173.50 
26-Apr-12, 173.50 
3-May-12, 173.50 
10-May-12, 173.50 
17-May-12, 173.50 
24-May-12, 173.50 
31-May-12, 173.50 
7-Jun-12, 173.50 
14-Jun-12, 173.50 
21-Jun-12, 173.50 
28-Jun-12, 173.50 
5-Jul-12, 173.50 
12-Jul-12, 173.50 
19-Jul-12, 173.50 
26-Jul-12, 152.50 
2-Aug-12, 152.50 
9-Aug-12, 152.50 
16-Aug-12, 152.50 
23-Aug-12, 152.50 
30-Aug-12, 152.50 
6-Sep-12, 152.50 
13-Sep-12, 152.50 
20-Sep-12, 152.50 
27-Sep-12, 152.50 
4-Oct-12, 152.50 
11-Oct-12, 152.50 
18-Oct-12, 152.50 
25-Oct-12, 152.50 
1-Nov-12, 152.50 
8-Nov-12, 152.50 
15-Nov-12, 152.50 
22-Nov-12, 152.50 
29-Nov-12, 152.50 
6-Dec-12, 152.50 
13-Dec-12, 152.50 
20-Dec-12, 152.50 
3-Jan-13, 152.50 
10-Jan-13, 152.50 
17-Jan-13, 140.00 
24-Jan-13, 140.00 
31-Jan-13, 137.50 
7-Feb-13, 137.50 
14-Feb-13, 137.50 
21-Feb-13, 137.50 
28-Feb-13, 137.50 
7-Mar-13, 137.50 
14-Mar-13, 137.50 
21-Mar-13, 137.50 
28-Mar-13, 137.50 
4-Apr-13, 137.50 
11-Apr-13, 137.50 
18-Apr-13, 137.50 
25-Apr-13, 137.50 
2-May-13, 132.50 
9-May-13, 132.50 
16-May-13, 132.50 
23-May-13, 132.50 
30-May-13, 130.00 
6-Jun-13, 130.00 
13-Jun-13, 130.00 
20-Jun-13, 130.00 
27-Jun-13, 130.00 
4-Jul-13, 130.00 
11-Jul-13, 130.00 
18-Jul-13, 130.00 
25-Jul-13, 130.00 
1-Aug-13, 130.00 
8-Aug-13, 125.00 
15-Aug-13, 125.00 
22-Aug-13, 125.00 
29-Aug-13, 125.00 
5-Sep-13, 125.00 
12-Sep-13, 125.00 
19-Sep-13, 125.00 
